Question Report,,,,
Report Generated:,6/24/2021 15:24,,,
Topic,Webinar ID,Actual Start Time,Actual Duration (minutes),# Question
Tobacco Online Policy Seminar (TOPS),913 0423 0768,6/24/2021 11:46,70,6
Question Details,,,,
#,Question,Answer(s),,
1,chat is disabled for me FYI,,,
2,Looks like the chat is disabled but Q&A is available...,,,
3,Are people who vape considered smokers?,live answered,,
4,Does the surcharge factor in current or former smoker status?,"Former smokers aren't subject to surcharges, only current users who aren't trying to quit.",,
5,"How do you adjust for income differences? As federal subsidies are linked to income, we'd expect those with more income to be more exposed to the tobacco surcharge.","All smokers, regardless of income, are exposed to the full surcharge for their age and geographic location",,
6,I guess I'm speaking about more exposed in proportional income terms. The surcharge is larger to poorer folks.,live answered,,
